,Suburb,Rooms,Type,Price,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Propertycount,zipcode,airbnb_price_mean,airbnb_record_count
25,Airport West,3,h,730000.0,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,-37.7203,144.8755,3464.0,,,
26,Airport West,3,h,770000.0,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,-37.7203,144.8755,3464.0,,,
27,Airport West,2,h,603000.0,13.5,3042.0,2.0,1.0,1.0,272.0,84.0,1950.0,-37.7294,144.888,3464.0,,,
28,Airport West,3,t,700000.0,13.5,3042.0,3.0,2.0,2.0,239.0,134.0,2009.0,-37.7218,144.8837,3464.0,,,
29,Airport West,3,h,600000.0,13.5,3042.0,2.0,1.0,1.0,290.0,116.0,1980.0,-37.7273,144.8744,3464.0,,,
30,Airport West,2,u,500000.0,13.5,3042.0,2.0,1.0,1.0,168.0,86.0,2011.0,-37.7215,144.8864,3464.0,,,
31,Airport West,6,h,725000.0,13.5,3042.0,6.0,3.0,2.0,976.0,186.0,1980.0,-37.7239,144.8735,3464.0,,,
32,Airport West,2,t,450000.0,13.5,3042.0,2.0,1.0,1.0,110.0,90.0,2015.0,-37.7216,144.871,3464.0,,,
33,Airport West,2,u,515000.0,13.5,3042.0,2.0,1.0,1.0,141.0,73.0,2013.0,-37.7298,144.8883,3464.0,,,
34,Airport West,2,u,530000.0,13.5,3042.0,2.0,1.0,1.0,120.0,94.0,2012.0,-37.7234,144.8792,3464.0,,,
35,Airport West,3,h,895000.0,13.5,3042.0,3.0,1.0,6.0,1063.0,133.0,1975.0,-37.7249,144.8728,3464.0,,,
36,Airport West,3,h,805000.0,13.5,3042.0,3.0,1.0,1.0,0.0,105.0,1950.0,-37.7217,144.8783,3464.0,,,
37,Airport West,3,u,752000.0,13.5,3042.0,3.0,1.0,1.0,265.0,130.0,1993.0,-37.7302,144.8855,3464.0,,,
38,Airport West,3,t,700000.0,13.5,3042.0,3.0,2.0,2.0,165.0,133.0,2009.0,-37.727,144.887,3464.0,,,
39,Airport West,3,h,830000.0,13.5,3042.0,3.0,1.0,2.0,971.0,113.0,1960.0,-37.7186,144.876,3464.0,,,
40,Airport West,2,h,675000.0,13.5,3042.0,2.0,1.0,1.0,612.0,100.0,1975.0,-37.7187,144.8765,3464.0,,,
41,Airport West,3,h,1042000.0,13.5,3042.0,3.0,2.0,5.0,612.0,174.0,1950.0,-37.7173,144.8796,3464.0,,,
42,Airport West,4,h,773000.0,13.5,3042.0,5.0,3.0,4.0,531.0,309.0,1980.0,-37.7263,144.8679,3464.0,,,
43,Airport West,3,h,810000.0,13.5,3042.0,3.0,3.0,2.0,555.0,192.0,1980.0,-37.7285,144.8694,3464.0,,,
44,Airport West,3,h,715000.0,13.5,3042.0,3.0,2.0,2.0,422.0,126.0,1995.0,-37.7164,144.8792,3464.0,,,
45,Airport West,3,t,540000.0,13.5,3042.0,2.0,2.0,1.0,161.0,101.0,2010.0,-37.7231,144.8802,3464.0,,,
46,Airport West,3,t,825000.0,13.5,3042.0,3.0,2.0,1.0,293.0,102.0,1960.0,-37.72,144.8776,3464.0,,,
47,Airport West,3,h,685000.0,13.5,3042.0,3.0,1.0,1.0,579.0,113.0,1975.0,-37.7226,144.8733,3464.0,,,
48,Airport West,4,h,900000.0,13.5,3042.0,4.0,2.0,3.0,628.0,146.0,1975.0,-37.7256,144.8739,3464.0,,,
49,Albert Park,2,h,1275000.0,3.3,3206.0,2.0,1.0,0.0,120.0,82.0,1900.0,-37.8459,144.9555,3280.0,,,
50,Albert Park,3,h,2850000.0,3.3,3206.0,3.0,2.0,0.0,211.0,198.0,1890.0,-37.8481,144.9499,3280.0,,,
51,Albert Park,3,h,1850000.0,3.3,3206.0,3.0,2.0,0.0,128.0,133.0,1890.0,-37.8452,144.9488,3280.0,,,
52,Albert Park,2,h,1436000.0,3.3,3206.0,2.0,1.0,0.0,130.0,81.0,1900.0,-37.8431,144.9565,3280.0,,,
53,Albert Park,4,h,2300000.0,3.3,3206.0,4.0,2.0,1.0,153.0,180.0,1880.0,-37.8447,144.9523,3280.0,,,
54,Albert Park,3,h,1800000.0,3.3,3206.0,3.0,2.0,1.0,132.0,159.0,1996.0,-37.8415,144.952,3280.0,,,
55,Albert Park,2,h,2120000.0,3.3,3206.0,2.0,1.0,1.0,199.0,107.0,1900.0,-37.8422,144.9554,3280.0,,,
56,Albert Park,3,h,1800000.0,3.3,3206.0,3.0,2.0,1.0,90.0,122.0,1900.0,-37.8421,144.9571,3280.0,,,
57,Albert Park,3,h,2615000.0,3.3,3206.0,3.0,2.0,1.0,177.0,181.0,1880.0,-37.8415,144.9585,3280.0,,,
58,Albert Park,3,h,1370000.0,3.3,3206.0,3.0,2.0,2.0,0.0,85.0,2000.0,-37.8451,144.9511,3280.0,,,
59,Albert Park,2,h,1322500.0,3.3,3206.0,2.0,1.0,0.0,149.0,98.0,1890.0,-37.8443,144.9481,3280.0,,,
60,Albert Park,2,h,1562500.0,3.3,3206.0,2.0,1.0,0.0,141.0,83.0,1890.0,-37.8424,144.9562,3280.0,,,
61,Albert Park,3,h,2000000.0,3.3,3206.0,3.0,2.0,1.0,211.0,147.0,1900.0,-37.847,144.9575,3280.0,,,
62,Albert Park,3,h,3010000.0,3.3,3206.0,3.0,2.0,0.0,147.0,146.0,1890.0,-37.8473,144.9551,3280.0,,,
63,Albert Park,4,h,2800000.0,3.3,3206.0,4.0,3.0,1.0,327.0,254.0,1910.0,-37.8467,144.9475,3280.0,,,
64,Albert Park,3,h,2100000.0,3.3,3206.0,2.0,1.0,1.0,120.0,123.0,1900.0,-37.8427,144.9546,3280.0,,,
65,Albert Park,3,h,2000000.0,3.3,3206.0,3.0,1.0,1.0,238.0,131.0,1890.0,-37.8461,144.9528,3280.0,,,
66,Albert Park,1,u,442500.0,3.3,3206.0,1.0,1.0,0.0,0.0,34.0,1970.0,-37.8421,144.9517,3280.0,,,
67,Albert Park,4,h,4735000.0,3.3,3206.0,4.0,2.0,1.0,330.0,207.0,1910.0,-37.8477,144.9558,3280.0,,,
68,Albert Park,4,h,2140000.0,3.3,3206.0,3.0,2.0,1.0,183.0,145.0,1880.0,-37.8434,144.9495,3280.0,,,
69,Albert Park,2,h,980000.0,3.3,3206.0,2.0,1.0,0.0,79.0,68.0,1890.0,-37.8387,144.9519,3280.0,,,
70,Albert Park,3,h,1740000.0,3.3,3206.0,3.0,2.0,2.0,147.0,134.0,1890.0,-37.8448,144.9453,3280.0,,,
71,Albert Park,1,h,985000.0,3.3,3206.0,1.0,1.0,0.0,81.0,54.0,1900.0,-37.8411,144.9497,3280.0,,,
72,Alphington,4,h,2000000.0,6.4,3078.0,3.0,2.0,4.0,853.0,263.0,1930.0,-37.7707,145.0318,2211.0,,,
73,Alphington,4,h,1717500.0,6.4,3078.0,4.0,2.0,1.0,599.0,203.0,1925.0,-37.7717,145.031,2211.0,,,
74,Alphington,5,h,2840000.0,6.4,3078.0,5.0,4.0,4.0,809.0,165.0,1910.0,-37.775,145.0268,2211.0,,,
75,Alphington,2,u,525500.0,6.4,3078.0,2.0,1.0,1.0,88.0,60.0,1960.0,-37.7791,145.0306,2211.0,,,
76,Alphington,2,t,805000.0,6.4,3078.0,2.0,2.0,3.0,155.0,140.0,2004.0,-37.7804,145.0308,2211.0,,,
77,Alphington,4,h,1830000.0,6.4,3078.0,4.0,2.0,2.0,606.0,112.0,1970.0,-37.7743,145.0316,2211.0,,,
78,Alphington,4,h,2100000.0,6.4,3078.0,4.0,2.0,2.0,575.0,271.0,2008.0,-37.7723,145.0319,2211.0,,,
79,Alphington,3,h,865000.0,6.4,3078.0,3.0,1.0,1.0,180.0,131.0,2010.0,-37.7802,145.0243,2211.0,,,
80,Alphington,2,u,390000.0,6.4,3078.0,2.0,1.0,1.0,0.0,60.0,1960.0,-37.7773,145.0314,2211.0,,,
81,Alphington,2,u,512000.0,6.4,3078.0,2.0,1.0,1.0,0.0,61.0,1965.0,-37.7805,145.0262,2211.0,,,
82,Alphington,4,h,1900000.0,6.4,3078.0,4.0,2.0,2.0,556.0,272.0,1930.0,-37.7844,145.0225,2211.0,,,
83,Alphington,4,h,1950000.0,6.4,3078.0,4.0,2.0,3.0,589.0,210.0,1920.0,-37.7719,145.0309,2211.0,,,
84,Altona,3,h,520000.0,13.8,3018.0,3.0,2.0,1.0,352.0,242.0,2015.0,-37.87,144.825,5301.0,,,
85,Altona,5,h,1525000.0,13.8,3018.0,5.0,3.0,3.0,729.0,268.0,2005.0,-37.8721,144.8105,5301.0,,,
86,Altona,2,t,720000.0,13.8,3018.0,2.0,1.0,2.0,292.0,125.0,2013.0,-37.8687,144.8197,5301.0,,,
87,Altona,3,h,1120000.0,13.8,3018.0,3.0,1.0,2.0,506.0,120.0,1930.0,-37.8693,144.8375,5301.0,,,
88,Altona,4,h,1780000.0,13.8,3018.0,4.0,3.0,6.0,1057.0,220.0,1962.0,-37.8681,144.819,5301.0,,,
89,Altona,3,u,630000.0,13.8,3018.0,2.0,1.0,2.0,311.0,94.0,1955.0,-37.8702,144.8143,5301.0,,,
90,Altona,3,h,660000.0,13.8,3018.0,3.0,1.0,1.0,602.0,123.0,1955.0,-37.8616,144.8116,5301.0,,,
91,Altona,2,u,580000.0,13.8,3018.0,2.0,1.0,1.0,225.0,93.0,1988.0,-37.8696,144.827,5301.0,,,
92,Altona,3,h,1335000.0,13.8,3018.0,3.0,1.0,4.0,777.0,22.0,1953.0,-37.8697,144.8249,5301.0,,,
93,Altona,2,u,510000.0,13.8,3018.0,2.0,1.0,1.0,127.0,76.0,1990.0,-37.8686,144.8182,5301.0,,,
94,Altona,2,u,425000.0,13.8,3018.0,2.0,1.0,2.0,115.0,57.0,1980.0,-37.871,144.8185,5301.0,,,
95,Altona,2,u,391000.0,13.8,3018.0,2.0,1.0,1.0,0.0,65.0,1965.0,-37.8678,144.8384,5301.0,,,
96,Altona,4,h,845000.0,13.8,3018.0,4.0,1.0,2.0,745.0,130.0,1950.0,-37.8658,144.8155,5301.0,,,
97,Altona,3,u,730000.0,13.8,3018.0,3.0,2.0,1.0,69.0,141.0,2014.0,-37.868,144.8286,5301.0,,,
98,Altona,2,u,447000.0,13.8,3018.0,2.0,1.0,1.0,137.0,77.0,1990.0,-37.8655,144.8299,5301.0,,,
99,Altona,3,h,678000.0,13.8,3018.0,3.0,1.0,2.0,606.0,87.0,1950.0,-37.8608,144.8124,5301.0,,,
100,Altona,2,u,580000.0,13.8,3018.0,2.0,2.0,1.0,175.0,76.0,2013.0,-37.8687,144.8268,5301.0,,,
101,Altona,3,h,840000.0,13.8,3018.0,3.0,2.0,2.0,534.0,136.0,1965.0,-37.86,144.8245,5301.0,,,
102,Altona,3,u,577000.0,13.8,3018.0,3.0,2.0,1.0,205.0,113.0,2007.0,-37.8684,144.815,5301.0,,,
103,Altona,2,h,857000.0,13.8,3018.0,2.0,2.0,1.0,675.0,100.0,1950.0,-37.8653,144.8129,5301.0,,,
104,Altona,3,u,730000.0,13.8,3018.0,3.0,2.0,1.0,70.0,3.0,2014.0,-37.868,144.8285,5301.0,,,
105,Altona,2,h,535600.0,13.8,3018.0,2.0,1.0,1.0,154.0,91.0,1996.0,-37.8646,144.8272,5301.0,,,
106,Altona North,5,h,1085000.0,11.1,3025.0,5.0,3.0,6.0,592.0,251.0,1965.0,-37.8388,144.8567,5132.0,,,
107,Altona North,3,h,781000.0,11.1,3025.0,3.0,1.0,2.0,533.0,117.0,1970.0,-37.8291,144.835,5132.0,,,
108,Altona North,2,t,421000.0,11.1,3025.0,2.0,1.0,1.0,77.0,77.0,2009.0,-37.8351,144.8529,5132.0,,,
109,Altona North,3,h,683000.0,11.1,3025.0,3.0,1.0,2.0,534.0,167.0,1967.0,-37.8284,144.8355,5132.0,,,
110,Altona North,3,h,720000.0,11.1,3025.0,3.0,2.0,1.0,0.0,130.0,2012.0,-37.8379,144.8583,5132.0,,,
111,Altona North,3,h,588000.0,11.1,3025.0,3.0,1.0,1.0,328.0,118.0,1970.0,-37.838,144.8555,5132.0,,,
112,Altona North,3,h,710000.0,11.1,3025.0,3.0,1.0,3.0,540.0,116.0,1960.0,-37.8294,144.8378,5132.0,,,
113,Altona North,4,h,875000.0,11.1,3025.0,3.0,1.0,4.0,559.0,169.0,1965.0,-37.8448,144.8529,5132.0,,,
114,Altona North,3,h,675000.0,11.1,3025.0,3.0,2.0,2.0,171.0,109.0,2012.0,-37.8337,144.8554,5132.0,,,
115,Altona North,3,h,708000.0,11.1,3025.0,3.0,1.0,2.0,585.0,97.0,1960.0,-37.8258,144.8523,5132.0,,,
116,Altona North,4,h,693000.0,11.1,3025.0,4.0,2.0,4.0,315.0,170.0,2008.0,-37.8391,144.8467,5132.0,,,
117,Altona North,3,h,620000.0,11.1,3025.0,5.0,2.0,2.0,276.0,100.0,2010.0,-37.8262,144.8443,5132.0,,,
118,Altona North,3,h,728500.0,11.1,3025.0,3.0,1.0,1.0,531.0,157.0,1960.0,-37.8277,144.8385,5132.0,,,
119,Altona North,3,h,931000.0,11.1,3025.0,3.0,2.0,1.0,590.0,160.0,1950.0,-37.8382,144.8649,5132.0,,,
120,Altona North,3,h,815000.0,11.1,3025.0,3.0,2.0,3.0,555.0,130.0,1960.0,-37.8318,144.8388,5132.0,,,
121,Altona North,4,h,1200000.0,11.1,3025.0,4.0,1.0,4.0,633.0,158.0,1960.0,-37.8375,144.8541,5132.0,,,
122,Altona North,2,u,292000.0,11.1,3025.0,2.0,1.0,1.0,153.0,70.0,1970.0,-37.8332,144.8649,5132.0,,,
123,Armadale,2,u,599000.0,6.3,3143.0,2.0,1.0,1.0,0.0,76.0,1964.0,-37.8543,145.0262,4836.0,,,
124,Armadale,3,u,995000.0,6.3,3143.0,3.0,2.0,2.0,0.0,100.0,1998.0,-37.8552,145.016,4836.0,,,
125,Armadale,3,t,1205000.0,6.3,3143.0,3.0,2.0,2.0,101.0,105.0,2000.0,-37.854,145.0135,4836.0,,,
126,Armadale,3,h,1939000.0,6.3,3143.0,3.0,2.0,2.0,296.0,150.0,1889.0,-37.8614,145.0274,4836.0,,,
127,Armadale,3,h,1870000.0,6.3,3143.0,3.0,1.0,1.0,217.0,116.0,1888.0,-37.8592,145.0182,4836.0,,,
128,Armadale,3,t,1918000.0,6.3,3143.0,3.0,2.0,2.0,0.0,165.0,1995.0,-37.8537,145.0267,4836.0,,,
129,Armadale,3,h,2050000.0,6.3,3143.0,3.0,2.0,1.0,205.0,116.0,1910.0,-37.8574,145.0281,4836.0,,,
130,Armadale,3,u,735000.0,6.3,3143.0,3.0,2.0,1.0,2113.0,14.0,1970.0,-37.8543,145.0262,4836.0,,,
131,Armadale,1,h,1435000.0,6.3,3143.0,2.0,2.0,1.0,144.0,107.0,1900.0,-37.8564,145.0228,4836.0,,,
132,Armadale,1,u,280000.0,6.3,3143.0,1.0,1.0,1.0,0.0,38.0,1975.0,-37.8619,145.0185,4836.0,,,
133,Armadale,2,u,592500.0,6.3,3143.0,2.0,1.0,1.0,0.0,73.0,1970.0,-37.8574,145.0174,4836.0,,,
134,Armadale,2,h,1210000.0,6.3,3143.0,2.0,1.0,0.0,249.0,96.0,1910.0,-37.8543,145.016,4836.0,,,
135,Armadale,4,h,2801000.0,6.3,3143.0,4.0,2.0,2.0,624.0,222.0,1900.0,-37.8536,145.0173,4836.0,,,
136,Armadale,3,h,1800000.0,6.3,3143.0,3.0,2.0,2.0,405.0,121.0,1910.0,-37.8545,145.0145,4836.0,,,
137,Armadale,4,h,2200000.0,6.3,3143.0,4.0,1.0,2.0,495.0,163.0,1900.0,-37.8613,145.0264,4836.0,,,
138,Armadale,1,u,440000.0,6.3,3143.0,1.0,1.0,1.0,0.0,53.0,1970.0,-37.8531,145.0115,4836.0,,,
139,Armadale,3,h,1300000.0,6.3,3143.0,2.0,1.0,2.0,212.0,106.0,1900.0,-37.8542,145.0149,4836.0,,,
140,Armadale,2,u,704000.0,6.3,3143.0,2.0,1.0,1.0,0.0,74.0,1969.0,-37.8573,145.0186,4836.0,,,
141,Armadale,2,u,620000.0,6.3,3143.0,3.0,1.0,1.0,0.0,98.0,1970.0,-37.8596,145.0198,4836.0,,,
142,Armadale,3,h,1900000.0,6.3,3143.0,3.0,1.0,2.0,328.0,108.0,1900.0,-37.8559,145.0158,4836.0,,,
143,Armadale,2,u,710000.0,6.3,3143.0,2.0,1.0,1.0,2471.0,80.0,1970.0,-37.8573,145.0186,4836.0,,,
144,Armadale,2,u,598000.0,6.3,3143.0,2.0,1.0,1.0,0.0,88.0,1970.0,-37.8593,145.0156,4836.0,,,
145,Armadale,3,h,1285000.0,6.3,3143.0,3.0,1.0,2.0,186.0,80.0,1920.0,-37.8554,145.0173,4836.0,,,
146,Armadale,2,u,520000.0,6.3,3143.0,1.0,1.0,1.0,0.0,76.0,1970.0,-37.8618,145.0183,4836.0,,,
147,Armadale,4,h,3625000.0,6.3,3143.0,4.0,1.0,2.0,709.0,251.0,1900.0,-37.8574,145.016,4836.0,,,
148,Armadale,4,h,4200000.0,6.3,3143.0,4.0,3.0,3.0,563.0,333.0,2000.0,-37.8582,145.0138,4836.0,,,
149,Armadale,3,t,1101000.0,6.3,3143.0,3.0,1.0,2.0,103.0,3.0,2000.0,-37.8542,145.0135,4836.0,,,
150,Armadale,3,h,3512500.0,6.3,3143.0,3.0,2.0,2.0,617.0,285.0,1998.0,-37.8557,145.0264,4836.0,,,
151,Armadale,3,u,869000.0,6.3,3143.0,2.0,1.0,1.0,0.0,91.0,1940.0,-37.853,145.0264,4836.0,,,
152,Armadale,1,u,567000.0,6.3,3143.0,1.0,1.0,1.0,0.0,53.0,2013.0,-37.8549,145.0113,4836.0,,,
153,Ascot Vale,3,h,940000.0,5.9,3032.0,3.0,1.0,2.0,298.0,108.0,1920.0,-37.7777,144.9195,6567.0,3032.0,111.61363636363636,176.0
154,Ascot Vale,2,u,467000.0,5.9,3032.0,2.0,1.0,1.0,0.0,62.0,1980.0,-37.7761,144.9201,6567.0,3032.0,111.61363636363636,176.0
155,Ascot Vale,3,h,1380000.0,5.9,3032.0,3.0,2.0,2.0,277.0,174.0,1910.0,-37.7777,144.9221,6567.0,3032.0,111.61363636363636,176.0
156,Ascot Vale,2,u,490000.0,5.9,3032.0,2.0,1.0,1.0,423.0,62.0,1970.0,-37.7736,144.9015,6567.0,3032.0,111.61363636363636,176.0
157,Ascot Vale,4,h,1850000.0,5.9,3032.0,4.0,3.0,1.0,478.0,270.0,1900.0,-37.7729,144.9179,6567.0,3032.0,111.61363636363636,176.0
158,Ascot Vale,3,h,971000.0,5.9,3032.0,3.0,2.0,2.0,285.0,128.0,1900.0,-37.775,144.9091,6567.0,3032.0,111.61363636363636,176.0
159,Ascot Vale,2,h,710000.0,5.9,3032.0,2.0,1.0,1.0,214.0,77.0,1890.0,-37.7776,144.9142,6567.0,3032.0,111.61363636363636,176.0
160,Ascot Vale,2,h,750000.0,5.9,3032.0,2.0,1.0,1.0,226.0,92.0,1920.0,-37.7745,144.9093,6567.0,3032.0,111.61363636363636,176.0
161,Ascot Vale,2,h,1053000.0,5.9,3032.0,2.0,1.0,1.0,269.0,109.0,1900.0,-37.7748,144.929,6567.0,3032.0,111.61363636363636,176.0
162,Ascot Vale,3,h,1377000.0,5.9,3032.0,3.0,1.0,1.0,417.0,168.0,1900.0,-37.7756,144.9208,6567.0,3032.0,111.61363636363636,176.0
163,Ascot Vale,3,h,970000.0,5.9,3032.0,3.0,1.0,2.0,350.0,125.0,1904.0,-37.7759,144.91,6567.0,3032.0,111.61363636363636,176.0
164,Ascot Vale,2,h,751000.0,5.9,3032.0,2.0,1.0,1.0,118.0,79.0,1890.0,-37.7807,144.9288,6567.0,3032.0,111.61363636363636,176.0
165,Ascot Vale,2,h,950000.0,5.9,3032.0,2.0,1.0,1.0,173.0,102.0,1900.0,-37.7731,144.9206,6567.0,3032.0,111.61363636363636,176.0
166,Ascot Vale,2,u,685000.0,5.9,3032.0,2.0,1.0,2.0,228.0,90.0,1995.0,-37.7718,144.9066,6567.0,3032.0,111.61363636363636,176.0
167,Ascot Vale,3,h,1230000.0,5.9,3032.0,4.0,1.0,2.0,594.0,148.0,1960.0,-37.7819,144.9064,6567.0,3032.0,111.61363636363636,176.0
168,Ascot Vale,2,h,770000.0,5.9,3032.0,2.0,1.0,1.0,226.0,87.0,1900.0,-37.7774,144.9186,6567.0,3032.0,111.61363636363636,176.0
169,Ascot Vale,4,h,890000.0,5.9,3032.0,4.0,1.0,1.0,300.0,185.0,1890.0,-37.7766,144.9143,6567.0,3032.0,111.61363636363636,176.0
170,Ascot Vale,3,h,1440000.0,5.9,3032.0,3.0,1.0,1.0,487.0,131.0,1900.0,-37.7725,144.9146,6567.0,3032.0,111.61363636363636,176.0
171,Ascot Vale,3,h,1000000.0,5.9,3032.0,3.0,2.0,2.0,440.0,120.0,1955.0,-37.7746,144.9031,6567.0,3032.0,111.61363636363636,176.0
172,Ascot Vale,3,h,1435000.0,5.9,3032.0,3.0,2.0,2.0,532.0,147.0,1950.0,-37.7737,144.904,6567.0,3032.0,111.61363636363636,176.0
173,Ascot Vale,1,u,390000.0,5.9,3032.0,1.0,1.0,1.0,0.0,58.0,1972.0,-37.7723,144.9094,6567.0,3032.0,111.61363636363636,176.0
174,Ascot Vale,3,h,1425000.0,5.9,3032.0,3.0,2.0,2.0,495.0,139.0,1920.0,-37.7821,144.9055,6567.0,3032.0,111.61363636363636,176.0
175,Ascot Vale,4,h,1340000.0,5.9,3032.0,3.0,2.0,2.0,683.0,232.0,1978.0,-37.775,144.93200000000004,6567.0,3032.0,111.61363636363636,176.0
176,Ascot Vale,3,h,955000.0,5.9,3032.0,3.0,1.0,1.0,263.0,117.0,1910.0,-37.7753,144.9116,6567.0,3032.0,111.61363636363636,176.0
177,Ascot Vale,4,h,1100000.0,5.9,3032.0,4.0,2.0,5.0,559.0,195.0,1920.0,-37.7791,144.9136,6567.0,3032.0,111.61363636363636,176.0
178,Ascot Vale,2,u,432000.0,5.9,3032.0,2.0,1.0,1.0,0.0,62.0,1978.0,-37.773,144.9303,6567.0,3032.0,111.61363636363636,176.0
179,Ascot Vale,4,h,1640000.0,5.9,3032.0,4.0,3.0,2.0,562.0,204.0,1890.0,-37.782,144.903,6567.0,3032.0,111.61363636363636,176.0
180,Ascot Vale,6,h,1430000.0,5.9,3032.0,4.0,2.0,1.0,461.0,286.0,1900.0,-37.78,144.9295,6567.0,3032.0,111.61363636363636,176.0
181,Ascot Vale,2,u,610000.0,5.9,3032.0,2.0,1.0,1.0,301.0,104.0,1995.0,-37.7791,144.914,6567.0,3032.0,111.61363636363636,176.0
182,Ascot Vale,3,h,940000.0,5.9,3032.0,3.0,3.0,1.0,491.0,127.0,1950.0,-37.7727,144.9136,6567.0,3032.0,111.61363636363636,176.0
183,Ascot Vale,3,h,890000.0,5.9,3032.0,3.0,1.0,1.0,242.0,110.0,1920.0,-37.7765,144.9114,6567.0,3032.0,111.61363636363636,176.0
184,Ascot Vale,3,h,1180000.0,5.9,3032.0,3.0,2.0,2.0,617.0,149.0,1930.0,-37.7742,144.906,6567.0,3032.0,111.61363636363636,176.0
